"doi_no","doi","record_index","start_line","end_line"
1,"10.1016/j.fcr.2025.110217","14; 17","680; 824","719; 870"
201,"10.1007/s11104-025-07842-4","2718; 76388","144240; 4039859","144287; 4039906"
254,"10.1007/s11104-025-07663-5","2719; 76448","144288; 4042953","144336; 4043001"
658,"10.1002/ajb2.70093","2741; 76895","145421; 4066317","145473; 4066369"
649,"10.1007/s10123-025-00708-w","2742; 76883","145474; 4065689","145523; 4065738"
411,"10.1007/s10811-025-03627-5","2745; 76615","145689; 4051628","145750; 4051689"
237,"10.22207/JPAM.19.3.462025","2755; 76429","146193; 4041924","146235; 4041966"
523,"10.22207/JPAM.19.3.44","2757; 76736","146289; 4058008","146337; 4058056"
589,"10.1002/ps.70193","2758; 76811","146338; 4061890","146388; 4061940"
109,"10.1007/s11104-025-07828-2","2760; 76284","146434; 4034224","146486; 4034276"
669,"10.1093/aob/mcaf180","2777; 76908","147364; 4066952","147432; 4067020"
229,"10.1007/s11104-025-07836-2","2780; 76421","147554; 4041520","147609; 4041575"
661,"10.1093/aob/mcaf185","2781; 76898","147610; 4066444","147657; 4066491"
386,"10.1002/ird.70028","2782; 76589","147658; 4050248","147711; 4050301"
306,"10.1007/s42729-025-02688-2","2783; 76504","147712; 4045757","147749; 4045794"
91,"10.1002/ecy.70219","2798; 76266","148423; 4033257","148544; 4033378"
605,"10.1080/01490451.2025.2553548","2849; 76829","151168; 4062841","151229; 4062902"
153,"10.1007/s11104-025-07781-0","2851; 76334","151308; 4036981","151345; 4037018"
11,"10.1111/aab.70005","2857; 46082; 76755","151595; 2512111; 4058926","151649; 2512162; 4058977"
149,"10.1007/s10668-025-06579-5","2985; 76330","158322; 4036776","158363; 4036817"
466,"10.1007/s10811-025-03640-8","2995; 76673","158883; 4054752","158935; 4054804"
389,"10.1007/s11104-025-07759-y","2997; 76592","158996; 4050409","159058; 4050471"
273,"10.1007/s10533-024-01144-0","3480; 76470","185725; 4044020","185774; 4044069"
643,"10.1080/01490451.2024.2335941","3618; 76877","193403; 4065365","193438; 4065400"
577,"10.1080/01490451.2024.2343858","3619; 76798","193439; 4061245","193487; 4061293"
655,"10.1017/S0954102024000087","3631; 76890","194073; 4066033","194148; 4066108"
127,"10.1007/s11104-024-06646-2","3714; 76305","198627; 4035386","198682; 4035441"
512,"10.1139/cjfr-2023-0088","4049; 76724","217208; 4057408","217250; 4057450"
572,"10.1007/s11104-024-06552-7","4193; 76792","225403; 4060926","225469; 4060992"
139,"10.1007/s11356-024-32536-2","4194; 76319","225470; 4036245","225521; 4036296"
212,"10.1007/s11356-024-32851-8","4221; 76401","227032; 4040517","227092; 4040577"
267,"10.1007/s00442-024-05524-z","4243; 76463","228211; 4043667","228258; 4043714"
507,"10.1007/s11104-024-06597-8","4332; 76717","233179; 4057045","233230; 4057096"
676,"10.1007/s11104-024-06595-w","4333; 76915","233231; 4067292","233288; 4067349"
314,"10.1007/s11104-024-06585-y","4347; 76512","233960; 4046164","234004; 4046208"
327,"10.1007/s40333-024-0008-0","4367; 76525","235018; 4046850","235068; 4046900"
455,"10.1007/s11356-024-32579-5","4589; 76662","246903; 4054151","246962; 4054210"
304,"10.1007/s11356-024-32578-6","4592; 76502","247076; 4045644","247139; 4045707"
375,"10.1007/s11368-023-03711-8","4609; 76577","247985; 4049632","248029; 4049676"
141,"10.1007/s11356-024-32399-7","4648; 76322","250080; 4036389","250126; 4036435"
567,"10.1111/ecog.07048","4784; 76787","257649; 4060653","257710; 4060714"
428,"10.1007/s11356-024-32223-2","4785; 76633","257711; 4052525","257757; 4052571"
480,"10.1007/s11356-024-32145-z","4870; 76689","262536; 4055577","262642; 4055683"
665,"10.1007/s11356-024-32290-5","4905; 76902","264521; 4066653","264573; 4066705"
338,"10.1007/s11368-024-03738-5","4909; 76537","264750; 4047452","264789; 4047491"
18,"10.3897/BDJ.12.e106199","4947; 76193","266813; 4027897","266946; 4028032"
430,"10.1080/23818107.2023.2301608","5129; 76635","276412; 4052684","276468; 4052740"
409,"10.1007/s00442-023-05506-7","5165; 76613","278337; 4051522","278395; 4051580"
39,"10.1038/s41597-023-02899-1","5492; 76214","296581; 4030416","296655; 4030490"
27,"10.1038/s41597-023-02784-x","5499; 76202","297002; 4028536","297433; 4028967"
3,"THE EFFECT OF HISTORICAL POLLUTION ON MICROBIAL FUNCTIONAL KINETICS IN BIOREMEDIATED SOILS FROM BAIA MARE|2024","5576; 5577","301408; 301443","301442; 301477"
46,"10.1016/j.dib.2023.109951","6060; 76221","326818; 4030778","326854; 4030814"
165,"10.1007/s00267-023-01917-7","6093; 76346","328591; 4037603","328672; 4037684"
33,"10.1016/j.dib.2023.109849","6143; 76208","331606; 4029192","331645; 4029231"
4,"10.1128/spectrum.03236-23","6437; 6994","347594; 378044","347651; 378102"
44,"10.1016/j.dib.2023.109827","6515; 76219","351801; 4030687","351851; 4030737"
183,"10.1007/s10342-023-01632-2","6522; 76367","352193; 4038773","352238; 4038818"
64,"10.1016/j.dib.2023.109776","6624; 76239","357696; 4031991","357740; 4032035"
